Category,Technology
Programming Languages,C++
Programming Languages,JavaScript
Programming Languages,R
Programming Languages,TypeScript
Programming Languages,SQL
Programming Languages,Java
Programming Languages,C
Programming Languages,C#
Programming Languages,Fortran
Programming Languages,MATLAB
Programming Languages,Rust
Programming Languages,Shell Script
Programming Languages,Go
Programming Languages,PHP
Programming Languages,Ruby
Programming Languages,Solidity
Applications,AutoCAD
Applications,Sketch
Applications,Maya
Applications,Revit
Application Platforms,Apache
Application Platforms,Solana
Application Platforms,CMS
Application Platforms,Confluence
Application Platforms,nginx
Application Platforms,ArcGIS
Application Platforms,WordPress
Application Platforms,JBoss
Application Platforms,Tomcat
Application Platforms,WildFly
Application Platforms,nginx
Cloud Services,AWS
Cloud Services,Azure
Cloud Services,GCP
Cloud Services,Serverless
Cloud Services,SaaS
Cloud Services,GitHub
Cloud Services,Azure DevOps
Cloud Services,Figma
Cloud Services,IaaS
Cloud Services,Cloud Computing
Cloud Services,Firebase
Cloud Services,Snowflake
Database & Business Intelligence,MySQL
Database & Business Intelligence,Data Lake
Database & Business Intelligence,Big Data
Database & Business Intelligence,Flink
Database & Business Intelligence,SQLite
Database & Business Intelligence,MongoDB
Database & Business Intelligence,PostgreSQL
Database & Business Intelligence,DynamoDB
Database & Business Intelligence,NoSQL
Database & Business Intelligence,Power BI
Database & Business Intelligence,Data Warehouse
Database & Business Intelligence,RDBMS
Database & Business Intelligence,SQL Server
Database & Business Intelligence,Hadoop
Database & Business Intelligence,BigQuery
Database & Business Intelligence,Oracle Database
Database & Business Intelligence,Tableau
Development Applications,Maven
Development Applications,Git
Development Applications,Visual Studio
Development Applications,Bitbucket
Development Applications,JIRA
Development Applications,Visual Studio Code
Development Applications,GitLab
Development Applications,Jenkins
Libraries & Frameworks,Node.js
Libraries & Frameworks,Smart Contracts
Libraries & Frameworks,CSS
Libraries & Frameworks,HTML
Libraries & Frameworks,GraphQL
Libraries & Frameworks,RESTful
Libraries & Frameworks,Vue.js
Libraries & Frameworks,Web Services
Libraries & Frameworks,NestJS
Libraries & Frameworks,Redux
Libraries & Frameworks,NumPy
Libraries & Frameworks,AngularJS
Libraries & Frameworks,RabbitMQ
Libraries & Frameworks,JSON
Libraries & Frameworks,Kafka
Libraries & Frameworks,Spring